mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-697.7926,54.89004,0.66346514,12.435786,7.7339506,0.5307502,-3.216631,-3.1593945,-10.977551,-2.848711,0.8152976,-3.037067,1.9554468,neutral
-692.8558,55.3639,-1.5483193,16.038305,8.81881,-0.14658625,-1.3733917,-5.29318,-11.623184,-1.3482836,0.8437146,-2.6412783,1.0172496,neutral
-691.5879,58.024662,0.15946463,13.62465,5.374112,1.1623365,-2.0833597,-5.382585,-10.332824,-3.6620808,0.56060064,-2.8382254,1.8347856,neutral
-685.10547,55.87942,2.7832625,13.252023,6.989669,2.9812741,-1.5860289,-6.961661,-10.348489,-3.270769,1.1761655,-1.4986562,0.5515501,neutral
-727.1044,62.355034,3.121181,15.064671,8.132434,1.9270841,-3.2746563,-3.7617917,-9.7502985,-4.853837,0.99631536,-3.1160698,0.5463206,calm
-707.3582,66.736465,2.2534888,11.169916,9.74208,1.0580918,-4.4261856,-4.6836147,-8.313273,-4.813667,1.7525572,-2.3765423,-0.20691964,calm
-697.16614,65.1082,0.93036777,13.633627,5.959596,2.8950698,-1.3418186,-4.775753,-8.671515,-4.5529985,1.9706045,-1.6276461,1.4267262,calm
-698.6377,68.698586,1.1003666,13.685943,8.338752,2.0671213,-0.6167907,-5.732325,-7.8613234,-4.4119186,1.0114723,-1.7058653,1.5934341,calm
-734.1256,70.53291,4.2251797,13.866503,9.276525,1.8420302,-3.7091064,-2.8845074,-6.3325033,-4.483915,2.0064912,-0.02967515,-0.17859097,calm
-697.8223,67.33959,-0.44955125,11.884349,6.899115,0.5723886,-4.5503764,-6.025094,-7.9348655,-4.8724413,2.6747522,-1.4644696,-1.1086313,calm
-704.5413,68.82944,4.728955,11.950599,5.6388826,5.8340936,-4.8624907,-4.862799,-8.308453,-4.8761907,2.3179219,1.222751,0.5954947,calm
-690.9957,65.29337,-3.5145001,14.551637,6.7378373,2.9514792,-4.3670077,-8.268065,-9.742737,-3.7135794,3.773647,-0.9587888,-0.2662218,calm
-645.9547,63.116707,-4.3889427,12.588354,4.2411594,-2.9022603,-5.6718726,-6.6233625,-11.532383,-2.380413,-1.2910126,-6.802653,1.1827942,happy
-631.407,62.999477,-5.8192096,15.460055,6.526638,-1.5888867,-6.5974174,-4.806329,-13.677246,-1.3645009,0.1333667,-6.3668647,3.405448,happy
-656.2289,62.20653,-2.3432078,12.91607,1.8241278,-0.17071323,-5.66999,-7.286775,-13.776975,-3.3122015,2.3617578,-7.0014296,1.9307773,happy
-652.70056,57.02253,0.41844004,18.289316,2.6309884,0.4183556,-2.5292726,-6.284705,-13.434198,-3.6181445,0.6169871,-4.589428,2.576322,happy
